company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
Foster-Moore Solutions,Pharmaceuticals,91,67,A Pharmaceuticals company focused on transform out-of-the-box mindshare,1
"Harris, Walsh and Price Solutions",Automotive,627,101,A Automotive company focused on orchestrate bleeding-edge convergence,1
Esparza-Williams Group,Data Analytics,7,2,A Data Analytics company focused on strategize cutting-edge markets,0
Ward-Aguilar Solutions,Construction,6,1,A Construction company focused on synthesize world-class eyeballs,0
"Burgess, Adams and Lee LLC",Gaming,298,93,A Gaming company focused on deploy leading-edge e-commerce,1
Davis LLC LLC,Venture Capital,890,115,A Venture Capital company focused on integrate dot-com bandwidth,1
"Davis, Bailey and Powers Group",Publishing,547,148,A Publishing company focused on envisioneer holistic ROI,0
Glover Ltd LLC,HealthTech,324,160,A HealthTech company focused on strategize cross-platform paradigms,1
"Bryant, Young and Stuart Solutions",Aerospace & Defense,6,1,A Aerospace & Defense company focused on enhance integrated e-commerce,0
Reed-Vance Group,Gaming,7,2,A Gaming company focused on disintermediate vertical web services,0
Mathis-Barnett Solutions,Data Analytics,7,3,A Data Analytics company focused on deploy B2B paradigms,0
"Leon, Contreras and Fritz Solutions",Telecommunications,865,50,A Telecommunications company focused on utilize virtual applications,0
"Miller, Ramirez and Chase Inc.",HealthTech,8,1,A HealthTech company focused on incubate customized platforms,0
"Williams, Chapman and Stephenson LLC",Wellness and Fitness,8,1,A Wellness and Fitness company focused on synthesize killer markets,0
Norris-Martinez Group,Oil & Gas,63,31,A Oil & Gas company focused on extend bricks-and-clicks web-readiness,1
"Richardson, Price and Stewart Group",Wellness and Fitness,439,68,A Wellness and Fitness company focused on productize world-class e-business,1
Hansen Ltd Group,Accounting,153,121,A Accounting company focused on cultivate magnetic e-business,1
Olson-Kline Inc.,Staffing & Recruiting,154,151,A Staffing & Recruiting company focused on brand front-end e-tailers,1
"Lee, Rosales and Mcdonald Solutions",SaaS,53,9,A SaaS company focused on optimize robust partnerships,1
"Arnold, Williams and Chan Solutions",Medical Devices,253,125,A Medical Devices company focused on envisioneer rich eyeballs,1
"Smith, Hall and Dorsey Group",Staffing & Recruiting,780,123,A Staffing & Recruiting company focused on redefine cross-platform initiatives,1
Ward-Nunez Inc.,Publishing,851,117,A Publishing company focused on maximize compelling solutions,0
"Lewis, Williams and Anthony LLC",Aerospace & Defense,44,91,A Aerospace & Defense company focused on expedite out-of-the-box supply-chains,1
"Thomas, Mejia and Ward Solutions",Medical Devices,497,142,A Medical Devices company focused on productize dot-com vortals,1
Morgan Ltd Solutions,Utilities,913,116,A Utilities company focused on engage plug-and-play experiences,1
Barrett and Sons LLC,PropTech,8,2,A PropTech company focused on enable enterprise supply-chains,0
Hernandez PLC Solutions,Accounting,322,83,A Accounting company focused on generate bleeding-edge users,1
Harding Group Solutions,SaaS,817,102,A SaaS company focused on e-enable ubiquitous e-commerce,1
Wheeler Inc Solutions,Medical Devices,5,3,A Medical Devices company focused on architect vertical bandwidth,0
"Larson, Murray and Bruce Group",Food & Beverage,6,2,A Food & Beverage company focused on exploit seamless supply-chains,0
Hart-Miller LLC,Agriculture,441,74,A Agriculture company focused on cultivate scalable networks,1
"Brown, Hernandez and Wang Inc.",Telecommunications,894,120,A Telecommunications company focused on engage holistic networks,0
"Allen, Rodriguez and Cole Inc.",Publishing,6,3,A Publishing company focused on embrace real-time bandwidth,0
"Byrd, Fields and French Group",Mining,467,128,A Mining company focused on unleash integrated schemas,1
James-Miller LLC,Healthcare,8,3,A Healthcare company focused on revolutionize bricks-and-clicks interfaces,0
Price Inc Group,HR Tech,442,124,A HR Tech company focused on exploit efficient markets,1
Larson-Kim LLC,Biotechnology,973,22,A Biotechnology company focused on evolve robust users,1
Simpson-Peterson LLC,Utilities,5,2,A Utilities company focused on extend granular e-commerce,0
Bryant-James Group,AI,536,143,A AI company focused on embrace wireless info-mediaries,1
Adkins Inc Solutions,Insurance,8,1,A Insurance company focused on target efficient models,0
Harvey Ltd LLC,HealthTech,8,1,A HealthTech company focused on synthesize visionary functionalities,0
Baker-Daniels LLC,AI,456,36,A AI company focused on enable sticky eyeballs,1
Anderson-Daniels LLC,IoT,663,135,A IoT company focused on productize wireless e-business,1
"Perkins, Murray and Oliver LLC",Gaming,7,1,A Gaming company focused on synthesize web-enabled technologies,0
"King, Powell and Moss Inc.",Telecommunications,6,2,A Telecommunications company focused on optimize next-generation applications,0
"Bush, Miller and Walker Solutions",Renewable Energy,233,92,A Renewable Energy company focused on re-intermediate cutting-edge supply-chains,1
Taylor-Gamble Solutions,Publishing,848,165,A Publishing company focused on reinvent plug-and-play vortals,0
Hall-Cabrera LLC,Medical Devices,6,2,A Medical Devices company focused on empower global channels,0
Chavez-Smith LLC,Accounting,968,71,A Accounting company focused on grow innovative systems,1
Edwards-Walker Inc.,Fintech,156,165,A Fintech company focused on maximize collaborative action-items,1
Vega and Sons Group,Investment Management,129,63,A Investment Management company focused on exploit leading-edge interfaces,1
"David, Levy and Farmer Inc.",Medical Devices,881,19,A Medical Devices company focused on whiteboard killer relationships,1
Rush-Lawrence LLC,Gaming,593,140,A Gaming company focused on repurpose 24/7 markets,1
Peterson-Herman LLC,SaaS,5,3,A SaaS company focused on deliver transparent eyeballs,0
"Adams, Howard and Castaneda LLC",Construction,7,2,A Construction company focused on deploy rich info-mediaries,0
"Gibson, Henry and Valdez Inc.",Marketing,522,95,A Marketing company focused on reinvent integrated users,1
Bowen Inc Group,Utilities,17,81,A Utilities company focused on unleash distributed e-tailers,1
Burke LLC Group,Venture Capital,6,2,A Venture Capital company focused on cultivate leading-edge markets,0
Thompson Inc LLC,EdTech,868,40,A EdTech company focused on engineer killer content,1
Walters Inc Inc.,Retail,381,23,A Retail company focused on facilitate granular e-services,1
"Ponce, Shelton and Mitchell Solutions",SaaS,369,101,A SaaS company focused on matrix cross-platform schemas,1
King PLC Inc.,Manufacturing,64,22,A Manufacturing company focused on envisioneer compelling vortals,1
"Pratt, Taylor and Galvan Solutions",Accounting,478,156,A Accounting company focused on seize B2C channels,1
"Davis, Lewis and Watson Inc.",Banking,326,73,A Banking company focused on integrate customized solutions,1
"Hale, Ramirez and Chapman LLC",Fashion & Apparel,593,150,A Fashion & Apparel company focused on seize synergistic e-tailers,0
"Kennedy, Thomas and Conway Solutions",Pharmaceuticals,5,3,A Pharmaceuticals company focused on embrace user-centric eyeballs,0
"Decker, Dixon and Kelly Inc.",Construction,8,2,A Construction company focused on engage dot-com partnerships,0
Sexton LLC LLC,Renewable Energy,149,96,A Renewable Energy company focused on utilize wireless ROI,1
Williams Group LLC,Venture Capital,797,107,A Venture Capital company focused on matrix visionary applications,1
Harris PLC Inc.,Software,455,62,A Software company focused on target dot-com solutions,1
Lucero and Sons LLC,EdTech,703,124,A EdTech company focused on repurpose mission-critical technologies,1
Adams PLC Group,Wellness and Fitness,323,39,A Wellness and Fitness company focused on deploy proactive markets,1
Zimmerman-Oconnor LLC,Marketing,269,159,A Marketing company focused on mesh open-source channels,1
Francis Inc Group,Banking,860,22,A Banking company focused on morph revolutionary eyeballs,1
Hall-Edwards Solutions,Fashion & Apparel,5,3,A Fashion & Apparel company focused on revolutionize back-end deliverables,0
Villarreal Inc Solutions,Food & Beverage,941,65,A Food & Beverage company focused on implement cutting-edge web-readiness,1
"Yang, Levine and Weaver Group",Publishing,5,2,A Publishing company focused on re-intermediate frictionless vortals,0
Smith-Bentley Inc.,Manufacturing,672,174,A Manufacturing company focused on strategize visionary portals,1
"Williams, French and Watson LLC",Media & Entertainment,120,67,A Media & Entertainment company focused on cultivate viral e-business,0
"Bryant, Bishop and Bird Solutions",Media & Entertainment,8,3,A Media & Entertainment company focused on embrace scalable technologies,0
Mason-Gonzalez LLC,Insurance,29,22,A Insurance company focused on syndicate front-end e-business,1
Patel-English Group,Utilities,5,2,A Utilities company focused on extend open-source initiatives,0
Evans LLC Group,Telecommunications,5,1,A Telecommunications company focused on brand enterprise relationships,0
Hurst Group LLC,Aerospace & Defense,382,192,A Aerospace & Defense company focused on facilitate holistic portals,1
Hester and Sons Solutions,Marketing,7,2,A Marketing company focused on embrace enterprise e-business,0
"Hall, Smith and Torres LLC",Manufacturing,79,9,A Manufacturing company focused on target e-business info-mediaries,1
Young-Henry Solutions,Medical Devices,7,2,A Medical Devices company focused on innovate granular applications,0
Rodriguez and Sons Solutions,Renewable Energy,881,75,A Renewable Energy company focused on innovate 24/7 users,1
Avila Ltd Solutions,Logistics & Supply Chain,208,10,A Logistics & Supply Chain company focused on visualize 24/7 mindshare,1
Blake LLC Group,Agriculture,7,1,A Agriculture company focused on integrate impactful paradigms,0
"Smith, Evans and Kelley Solutions",Publishing,424,34,A Publishing company focused on optimize virtual technologies,0
Anderson-Beck Group,Cosmetics,7,3,A Cosmetics company focused on reinvent revolutionary e-tailers,0
"Lee, Webb and Bowers Group",Food & Beverage,845,55,A Food & Beverage company focused on redefine rich e-markets,1
Williams-Mckee Group,Logistics & Supply Chain,5,1,A Logistics & Supply Chain company focused on transform next-generation solutions,0
Perez LLC LLC,Insurance,746,195,A Insurance company focused on exploit dot-com interfaces,1
"Morgan, Vasquez and Green Solutions",Events Services,459,75,A Events Services company focused on evolve proactive bandwidth,0
Rose-Chapman LLC,EdTech,246,57,A EdTech company focused on orchestrate integrated schemas,1
Garcia-Gay Group,Utilities,407,72,A Utilities company focused on engineer intuitive technologies,1
"Carlson, Archer and Jones Solutions",EdTech,738,131,A EdTech company focused on engage cutting-edge platforms,1
Carroll Ltd LLC,Media & Entertainment,8,2,A Media & Entertainment company focused on incubate integrated ROI,0
Gardner and Sons Group,Media & Entertainment,5,3,A Media & Entertainment company focused on mesh wireless partnerships,0
Palmer-Brown Solutions,Pharmaceuticals,555,131,A Pharmaceuticals company focused on unleash end-to-end e-markets,1
Clark-Arias Inc.,Events Services,6,1,A Events Services company focused on evolve 24/7 channels,0
"Johnson, Herrera and Garcia Inc.",PropTech,669,151,A PropTech company focused on mesh dot-com methodologies,1
White-Farrell Solutions,Utilities,820,138,A Utilities company focused on productize efficient experiences,1
White-Graham Solutions,Fintech,257,88,A Fintech company focused on brand compelling web-readiness,1
Burton-Morris Solutions,HR Tech,523,168,A HR Tech company focused on synergize magnetic niches,1
Mccarty-Mccullough Group,Staffing & Recruiting,68,48,A Staffing & Recruiting company focused on enable enterprise systems,1
Chavez-Perry Inc.,Consulting,8,1,A Consulting company focused on scale killer content,0
Carey Ltd Group,Media & Entertainment,662,162,A Media & Entertainment company focused on empower scalable interfaces,0
"Watson, Simpson and Thomas Group",Pharmaceuticals,868,138,A Pharmaceuticals company focused on embrace e-business bandwidth,1
Wilson Inc Solutions,Mining,547,166,A Mining company focused on grow 24/7 eyeballs,1
Thomas-Rodriguez LLC,Fashion & Apparel,771,172,A Fashion & Apparel company focused on cultivate customized solutions,0
Kim and Sons Inc.,Retail,787,111,A Retail company focused on implement cross-platform markets,1
Phillips-Hebert Solutions,Marketing,7,2,A Marketing company focused on e-enable synergistic schemas,0
Scott Inc Inc.,Consumer Electronics,6,1,A Consumer Electronics company focused on engineer efficient communities,0
Boone PLC Solutions,Investment Management,324,161,A Investment Management company focused on synthesize holistic e-business,1
Garcia-Reed Inc.,Events Services,927,116,A Events Services company focused on re-intermediate wireless content,0
Davis PLC LLC,Travel & Tourism,8,2,A Travel & Tourism company focused on disintermediate out-of-the-box info-mediaries,0
"Maldonado, Williams and Lawrence LLC",Medical Devices,699,178,A Medical Devices company focused on streamline compelling channels,1
Arias-Carlson LLC,Public Relations,52,197,A Public Relations company focused on whiteboard front-end web services,1
Rocha-Morgan Inc.,Telecommunications,7,1,A Telecommunications company focused on enhance enterprise paradigms,0
"Bush, Hughes and Mccarthy Inc.",E-commerce,545,69,A E-commerce company focused on integrate clicks-and-mortar e-tailers,1
Harvey-Castillo Group,Cloud Computing,785,26,A Cloud Computing company focused on productize global models,1
Hanson LLC Inc.,E-commerce,6,3,A E-commerce company focused on benchmark killer applications,0
Thompson Inc Inc.,Consumer Electronics,93,57,A Consumer Electronics company focused on engage end-to-end synergies,0
Rodriguez PLC LLC,Consumer Electronics,8,1,A Consumer Electronics company focused on cultivate cross-media ROI,0
Tucker Inc LLC,HR Tech,8,2,A HR Tech company focused on orchestrate intuitive metrics,0
Manning-Obrien Group,Construction,438,194,A Construction company focused on disintermediate dynamic content,1
Chavez and Sons LLC,Mining,6,3,A Mining company focused on reinvent scalable mindshare,0
"Garcia, Johnson and Kelley Inc.",Events Services,573,179,A Events Services company focused on whiteboard granular vortals,0
Hicks-Adams LLC,Retail,559,15,A Retail company focused on e-enable one-to-one solutions,1
Richardson Ltd Group,Fintech,713,126,A Fintech company focused on strategize transparent portals,1
Hart-Colon Inc.,Cybersecurity,287,139,A Cybersecurity company focused on generate customized eyeballs,1
"Ward, Gibson and Arias Solutions",AI,6,1,A AI company focused on morph revolutionary networks,0
Rodriguez Group LLC,Biotechnology,247,150,A Biotechnology company focused on implement killer convergence,1
"Leonard, Garcia and Barnes Solutions",HR Tech,188,86,A HR Tech company focused on synergize 24/365 applications,1
"Cummings, Weaver and Strickland Solutions",AI,6,1,A AI company focused on maximize integrated vortals,0
Daniel PLC Solutions,Food & Beverage,535,199,A Food & Beverage company focused on benchmark efficient content,1
Ford Group Solutions,Mining,5,1,A Mining company focused on seize granular partnerships,0
Flores-Gregory LLC,Consulting,8,2,A Consulting company focused on drive distributed deliverables,0
Williams Group Solutions,Media & Entertainment,865,134,A Media & Entertainment company focused on seize visionary users,0
"Hill, Johnson and Alvarez Inc.",Food & Beverage,370,11,A Food & Beverage company focused on orchestrate integrated content,1
Mccall-Nunez Inc.,Fashion & Apparel,5,3,A Fashion & Apparel company focused on transition wireless e-tailers,0
Carr-Ortega Group,Publishing,6,1,A Publishing company focused on productize bricks-and-clicks markets,0
"Lucas, Freeman and Jones Group",Publishing,5,1,A Publishing company focused on embrace killer portals,0
"Morris, Curry and Daniels Group",Construction,368,192,A Construction company focused on incubate sticky mindshare,1
Burns-Chambers LLC,Wellness and Fitness,28,140,A Wellness and Fitness company focused on transition compelling methodologies,1
Collins LLC Group,PropTech,413,156,A PropTech company focused on e-enable distributed metrics,1
Henry-Hill Group,Manufacturing,529,20,A Manufacturing company focused on transform granular infrastructures,1
Ritter Group Group,Consumer Electronics,339,28,A Consumer Electronics company focused on engage impactful portals,0
"Johnson, Stephens and Meyer Solutions",Medical Devices,8,1,A Medical Devices company focused on aggregate back-end partnerships,0
Torres-Romero Inc.,Media & Entertainment,5,1,A Media & Entertainment company focused on reinvent viral eyeballs,0
Cox PLC Group,Events Services,439,89,A Events Services company focused on cultivate integrated relationships,0
Lucas and Sons Group,E-commerce,7,1,A E-commerce company focused on orchestrate frictionless applications,0
"Norman, Howell and Odonnell Solutions",Healthcare,7,2,A Healthcare company focused on enable global infrastructures,0
James and Sons Group,AI,8,2,A AI company focused on cultivate visionary initiatives,0
Mitchell-Williams Inc.,Venture Capital,826,38,A Venture Capital company focused on whiteboard turn-key synergies,1
"Nguyen, Davis and Gilmore LLC",Construction,957,135,A Construction company focused on matrix vertical initiatives,1
Allen-Miller LLC,Public Relations,117,59,A Public Relations company focused on streamline revolutionary convergence,1
Cordova-Shepard Group,Staffing & Recruiting,731,112,A Staffing & Recruiting company focused on aggregate impactful communities,1
Best PLC LLC,Healthcare,769,5,A Healthcare company focused on re-intermediate open-source portals,1
Richardson Inc Solutions,Food & Beverage,5,2,A Food & Beverage company focused on engage enterprise infrastructures,0
Bell LLC Inc.,Mining,688,79,A Mining company focused on empower collaborative convergence,1
Johnson Ltd Solutions,Cosmetics,5,3,A Cosmetics company focused on seize out-of-the-box deliverables,0
Fisher PLC LLC,Consulting,6,1,A Consulting company focused on benchmark strategic supply-chains,0
Brown-Ramirez LLC,Public Relations,32,135,A Public Relations company focused on incentivize innovative networks,1
"Harrison, Johnson and Martin Group",SaaS,724,14,A SaaS company focused on repurpose virtual users,1
Chavez Ltd Solutions,Events Services,8,1,A Events Services company focused on embrace visionary web-readiness,0
Williams and Sons Group,Telecommunications,5,3,A Telecommunications company focused on re-intermediate 24/365 deliverables,0
Livingston and Sons LLC,Agriculture,32,16,A Agriculture company focused on engage best-of-breed eyeballs,1
Mclaughlin-Copeland Inc.,EdTech,770,130,A EdTech company focused on incentivize enterprise channels,1
Phillips-Jones Inc.,Consulting,218,158,A Consulting company focused on incentivize interactive markets,1
Bailey-Wells Solutions,Investment Management,32,79,A Investment Management company focused on monetize holistic supply-chains,1
Anderson PLC Solutions,Accounting,181,116,A Accounting company focused on leverage granular systems,1
"Gibson, Mitchell and Perez Inc.",Public Relations,568,104,A Public Relations company focused on mesh interactive e-services,1
Hanson PLC LLC,Fintech,229,30,A Fintech company focused on transform plug-and-play infrastructures,1
Byrd Inc Solutions,Banking,308,127,A Banking company focused on grow cross-media initiatives,1
Jones Inc Inc.,Consumer Electronics,5,2,A Consumer Electronics company focused on facilitate 24/365 deliverables,0
"James, Kirk and Mills Solutions",Data Analytics,965,95,A Data Analytics company focused on monetize extensible convergence,1
"Mata, Lopez and Mitchell Group",Hospitality,233,139,A Hospitality company focused on unleash compelling architectures,0
"Conway, Martinez and Luna Inc.",Cosmetics,6,3,A Cosmetics company focused on e-enable real-time applications,0
"Gamble, Ramirez and Bennett Solutions",HR Tech,5,1,A HR Tech company focused on re-intermediate bleeding-edge communities,0
Bass Inc LLC,Consulting,5,3,A Consulting company focused on deliver user-centric platforms,0
"Reyes, Gillespie and Cook Solutions",Cloud Computing,603,99,A Cloud Computing company focused on monetize ubiquitous portals,1
Williams-Wall LLC,Construction,877,150,A Construction company focused on extend revolutionary partnerships,1
Walsh LLC Group,Medical Devices,340,149,A Medical Devices company focused on cultivate customized e-markets,1
Brewer PLC Group,Mining,635,24,A Mining company focused on iterate bricks-and-clicks eyeballs,1
"Kelley, Best and Jenkins LLC",Fashion & Apparel,6,3,A Fashion & Apparel company focused on revolutionize integrated e-markets,0
"Velasquez, Howard and Nixon Solutions",Construction,870,128,A Construction company focused on optimize front-end applications,1
"Rogers, Conrad and Rodriguez Group",SaaS,585,87,A SaaS company focused on engineer best-of-breed models,1
Taylor-Frazier Group,HealthTech,134,94,A HealthTech company focused on seize bleeding-edge e-markets,1
Jones-Hawkins Group,Construction,843,119,A Construction company focused on enhance web-enabled e-business,1
"Mcdaniel, Grant and Cummings Solutions",Staffing & Recruiting,885,57,A Staffing & Recruiting company focused on envisioneer front-end relationships,1
Hebert Ltd Solutions,Manufacturing,95,82,A Manufacturing company focused on extend mission-critical e-commerce,1
Harris-Peterson LLC,Publishing,585,90,A Publishing company focused on extend cross-media relationships,0
Fowler Group Inc.,Travel & Tourism,150,132,A Travel & Tourism company focused on engage extensible systems,0
"Atkinson, Cunningham and Miller Solutions",Media & Entertainment,346,137,A Media & Entertainment company focused on incubate bleeding-edge relationships,0
Jacobs-Collins Group,Software,5,2,A Software company focused on incubate dynamic e-markets,0
Ross and Sons LLC,Staffing & Recruiting,8,2,A Staffing & Recruiting company focused on synergize frictionless technologies,0
Braun-Evans Solutions,Retail,550,191,A Retail company focused on optimize transparent vortals,1
"Robertson, White and Nguyen LLC",AI,132,148,A AI company focused on productize B2B technologies,1
"White, Sosa and Schneider LLC",Construction,757,130,A Construction company focused on exploit sticky infrastructures,1
Smith and Sons Inc.,Logistics & Supply Chain,327,43,A Logistics & Supply Chain company focused on utilize extensible synergies,1
Hall LLC Group,Retail,833,107,A Retail company focused on unleash B2C mindshare,1
Mckee Inc Group,Travel & Tourism,416,172,A Travel & Tourism company focused on grow scalable channels,0
Young Inc LLC,Venture Capital,5,1,A Venture Capital company focused on benchmark distributed portals,0
Daniels and Sons LLC,Consulting,52,49,A Consulting company focused on engage enterprise networks,1
Cooper Ltd Group,AI,5,3,A AI company focused on visualize plug-and-play systems,0
Perkins-Oneill Inc.,Consulting,6,2,A Consulting company focused on visualize holistic deliverables,0
Smith Group Group,HR Tech,7,1,A HR Tech company focused on revolutionize best-of-breed schemas,0
"Jones, Pierce and Chavez Inc.",Banking,153,137,A Banking company focused on maximize open-source metrics,1
Thompson and Sons LLC,Public Relations,805,44,A Public Relations company focused on redefine dot-com architectures,1
Becker-Bennett Group,Medical Devices,925,76,A Medical Devices company focused on re-intermediate synergistic infrastructures,1
Mccann Ltd LLC,Public Relations,8,1,A Public Relations company focused on strategize e-business solutions,0
Adams Ltd LLC,Mining,489,164,A Mining company focused on monetize clicks-and-mortar e-services,1
Russell-Barnes Solutions,Cosmetics,427,111,A Cosmetics company focused on matrix wireless e-markets,0
Henry PLC Inc.,Investment Management,639,142,A Investment Management company focused on brand global experiences,1
Campbell LLC Solutions,Banking,5,3,A Banking company focused on synthesize robust e-markets,0
"Leon, Porter and Jensen Inc.",Publishing,6,1,A Publishing company focused on engage out-of-the-box ROI,0
"Scott, Crawford and Cole Solutions",EdTech,553,82,A EdTech company focused on mesh scalable portals,1
"Hall, Parsons and Brown Group",Fashion & Apparel,498,37,A Fashion & Apparel company focused on integrate frictionless info-mediaries,0
Harding-Yoder Solutions,Publishing,750,74,A Publishing company focused on seize cutting-edge vortals,0
"Heath, Adams and Sanchez Solutions",Consulting,595,153,A Consulting company focused on redefine one-to-one functionalities,1
"Taylor, Walker and Payne LLC",Retail,796,156,A Retail company focused on innovate leading-edge networks,1
Thomas-Curtis LLC,Utilities,685,106,A Utilities company focused on architect world-class relationships,1
English-Gonzales Solutions,IoT,787,13,A IoT company focused on orchestrate sticky vortals,1
Elliott Inc LLC,Travel & Tourism,8,2,A Travel & Tourism company focused on reinvent impactful experiences,0
"Clark, Oconnor and Miller Group",Venture Capital,5,3,A Venture Capital company focused on enhance mission-critical e-markets,0
Henderson Inc Solutions,Mining,6,1,A Mining company focused on unleash end-to-end relationships,0
Flores LLC Solutions,Mining,209,121,A Mining company focused on innovate robust architectures,1
"Davis, Johnston and Franklin Group",Renewable Energy,804,187,A Renewable Energy company focused on embrace collaborative schemas,1
Alvarez Inc Group,Logistics & Supply Chain,622,59,A Logistics & Supply Chain company focused on harness seamless applications,1
"Brown, Davis and Saunders Inc.",Manufacturing,6,3,A Manufacturing company focused on productize innovative eyeballs,0
Lee LLC Solutions,HR Tech,889,144,A HR Tech company focused on target revolutionary vortals,1
Johnson Group LLC,Aerospace & Defense,7,2,A Aerospace & Defense company focused on incentivize cross-platform platforms,0
Davis and Sons LLC,Banking,7,1,A Banking company focused on evolve open-source metrics,0
"Dunlap, Morgan and Taylor Solutions",E-commerce,6,2,A E-commerce company focused on disintermediate bricks-and-clicks models,0
Paul Group Group,PropTech,6,2,A PropTech company focused on seize 24/7 bandwidth,0
Osborn-Davis Inc.,Travel & Tourism,8,3,A Travel & Tourism company focused on extend cross-media web-readiness,0
Boyd-Smith LLC,Data Analytics,265,28,A Data Analytics company focused on syndicate strategic content,1
Baldwin Ltd LLC,Cybersecurity,688,86,A Cybersecurity company focused on e-enable mission-critical communities,1
Medina-Valdez Group,Public Relations,8,3,A Public Relations company focused on aggregate clicks-and-mortar schemas,0
Hooper-Martinez LLC,HealthTech,478,192,A HealthTech company focused on exploit cross-platform ROI,1
Walker-Townsend LLC,Media & Entertainment,262,114,A Media & Entertainment company focused on brand intuitive action-items,0
Griffin Ltd Solutions,Events Services,708,123,A Events Services company focused on aggregate mission-critical e-markets,0
"Duffy, Robbins and Jensen LLC",Wellness and Fitness,387,115,A Wellness and Fitness company focused on drive real-time supply-chains,1
Willis-Farrell Group,Mining,401,172,A Mining company focused on enable plug-and-play paradigms,1
"Parrish, Walker and Miller Group",Mining,762,178,A Mining company focused on orchestrate rich bandwidth,1
Brewer-Marquez LLC,Pharmaceuticals,8,3,A Pharmaceuticals company focused on target bleeding-edge schemas,0
Shaw-Villanueva Solutions,Renewable Energy,273,93,A Renewable Energy company focused on seize 24/7 web-readiness,1
Cox-Wallace Group,Food & Beverage,736,103,A Food & Beverage company focused on enable magnetic e-commerce,1
"Weber, Palmer and Gilbert Inc.",HealthTech,5,1,A HealthTech company focused on transform scalable e-tailers,0
"Ramsey, Jackson and Hoover Solutions",Hospitality,999,81,A Hospitality company focused on iterate turn-key convergence,0
"Daniels, Mullen and Medina Solutions",Agriculture,940,158,A Agriculture company focused on transform back-end e-services,1
Phillips-Anderson Inc.,Publishing,194,180,A Publishing company focused on enhance scalable e-services,0
"Phillips, Cox and Tate Group",Mining,8,1,A Mining company focused on reinvent granular eyeballs,0
"Robinson, Warner and Cook Group",Automotive,6,1,A Automotive company focused on incubate one-to-one web-readiness,0
Thomas and Sons Inc.,SaaS,7,2,A SaaS company focused on morph distributed infrastructures,0
Hawkins-Jackson Group,Staffing & Recruiting,5,3,A Staffing & Recruiting company focused on target proactive infrastructures,0
"Miles, Young and Walls LLC",E-commerce,5,1,A E-commerce company focused on exploit e-business web-readiness,0
"Ashley, Jones and Lopez Group",Media & Entertainment,7,2,A Media & Entertainment company focused on unleash holistic platforms,0
Reynolds Group Group,Legal Services,6,1,A Legal Services company focused on innovate B2C portals,0
"Dudley, Schmidt and Ramos Group",Cosmetics,706,88,A Cosmetics company focused on e-enable plug-and-play solutions,0
Esparza Group LLC,HR Tech,691,48,A HR Tech company focused on innovate intuitive infrastructures,1
Lopez Group Group,Aerospace & Defense,5,2,A Aerospace & Defense company focused on facilitate real-time methodologies,0
Carson Ltd LLC,Manufacturing,6,1,A Manufacturing company focused on incubate visionary supply-chains,0
Johnson-Holland Solutions,Manufacturing,112,26,A Manufacturing company focused on implement global users,1
Stephens PLC Group,Data Analytics,601,122,A Data Analytics company focused on deliver interactive ROI,1
Martinez LLC Group,Consulting,633,131,A Consulting company focused on streamline seamless methodologies,1
Hudson-Whitaker Group,Agriculture,805,42,A Agriculture company focused on redefine impactful markets,1
Hutchinson-Berry Inc.,Mining,284,138,A Mining company focused on redefine out-of-the-box action-items,1
"Cortez, Riley and Wilson Inc.",Automotive,544,40,A Automotive company focused on engineer transparent info-mediaries,1
"Johnston, Watts and Nelson Solutions",Insurance,65,5,A Insurance company focused on aggregate leading-edge vortals,1
"Buchanan, Wright and Wright Group",Renewable Energy,536,35,A Renewable Energy company focused on target B2B partnerships,1
"Brown, Johnson and Ball Inc.",IoT,761,106,A IoT company focused on optimize dot-com niches,1
King-Oliver LLC,Media & Entertainment,717,32,A Media & Entertainment company focused on re-intermediate mission-critical synergies,0
Garcia-Solis Solutions,Cosmetics,52,164,A Cosmetics company focused on generate next-generation channels,0
"Mcguire, Garcia and Hickman Solutions",Consulting,5,1,A Consulting company focused on evolve ubiquitous architectures,0
Vaughn-Roth Inc.,Banking,8,2,A Banking company focused on engage efficient channels,0
"Tucker, Baldwin and Velazquez Solutions",Automotive,508,27,A Automotive company focused on reinvent bleeding-edge networks,1
"Evans, Reeves and French LLC",Fashion & Apparel,57,69,A Fashion & Apparel company focused on transition wireless niches,0
Terry-Cook Group,Biotechnology,256,132,A Biotechnology company focused on deliver cross-platform vortals,1
Jensen-Chen Group,Venture Capital,651,80,A Venture Capital company focused on aggregate world-class synergies,1
Hayes-Willis Group,Healthcare,7,2,A Healthcare company focused on cultivate clicks-and-mortar e-markets,0
Garcia LLC LLC,Insurance,7,1,A Insurance company focused on empower strategic e-services,0
"Freeman, Case and Gonzalez Solutions",Marketing,626,70,A Marketing company focused on revolutionize frictionless solutions,1
Gonzales PLC Solutions,Accounting,878,5,A Accounting company focused on transition robust e-business,1
Ball PLC LLC,Gaming,591,135,A Gaming company focused on benchmark cutting-edge markets,1
"Kent, Rivera and Smith Inc.",Consulting,552,33,A Consulting company focused on leverage value-added eyeballs,1
Crawford-Evans Solutions,Data Analytics,771,98,A Data Analytics company focused on deliver best-of-breed applications,1
Decker LLC Solutions,Hospitality,564,35,A Hospitality company focused on disintermediate 24/365 niches,0
